instancia,algoritmo,sucesso,custo,tempo_s,nos_expandidos,entregas,max_battery,maze_size,num_estacoes,num_entregas_alvo
1,astar,False,74,1.0249,205,2,60,20,6,5
1,astar,True,149,3.0308,695,5,60,20,6,5
1,astar,True,77,4.8631,1116,5,60,20,6,5
1,astar,True,110,36.0447,663,5,60,20,6,5
1,astar,True,162,2.7221,406,5,60,20,6,5
1,astar,True,132,31.9922,835,5,60,20,6,5
1,astar,True,107,35.4645,1459,5,60,20,6,5
1,astar,True,138,30.3904,848,5,60,20,6,5
1,astar,False,74,11.4917,287,2,60,20,6,5
1,astar,True,92,38.9601,2059,5,60,20,6,5
