seed,experiment_slice,nx,ny,nz,battery_max,initial_battery,time_horizon,algorithm,success,path_cost,plan_length,wall_time_sec,visited_nodes,max_fringe_size,iterations,timeout,error
0,baseline,5,5,3,16,12,48,bfs,True,21.075,9,2.458649,3569,1622,3569,False,
0,baseline,5,5,3,16,12,48,dfs,True,78.575,24,0.068117,1049,104,1049,False,
0,baseline,5,5,3,16,12,48,ucs,True,20.5,9,1.825676,2267,1011,2267,False,
0,baseline,5,5,3,16,12,48,greedy,True,29.8,13,0.004208,93,60,93,False,
0,baseline,5,5,3,16,12,48,astar,True,20.5,9,0.016788,120,198,120,False,
1,baseline,5,5,3,16,12,48,bfs,True,21.075,9,1.550116,2814,1308,2814,False,
1,baseline,5,5,3,16,12,48,dfs,True,79.15,24,0.067251,1102,93,1102,False,
1,baseline,5,5,3,16,12,48,ucs,True,21.075,9,1.243734,1980,812,1980,False,
1,baseline,5,5,3,16,12,48,greedy,True,30.15,14,0.005412,120,59,120,False,
1,baseline,5,5,3,16,12,48,astar,True,21.075,9,0.020914,147,177,147,False,
2,baseline,5,5,3,16,12,48,bfs,False,,,0.013573,276,99,276,False,
2,baseline,5,5,3,16,12,48,dfs,False,,,0.004928,276,13,276,False,
2,baseline,5,5,3,16,12,48,ucs,False,,,0.023101,276,128,276,False,
2,baseline,5,5,3,16,12,48,greedy,False,,,0.009543,276,32,276,False,
2,baseline,5,5,3,16,12,48,astar,False,,,0.021739,276,86,276,False,
3,baseline,5,5,3,16,12,48,bfs,False,,,0.011982,268,88,268,False,
3,baseline,5,5,3,16,12,48,dfs,False,,,0.004883,268,13,268,False,
3,baseline,5,5,3,16,12,48,ucs,False,,,0.020042,268,111,268,False,
3,baseline,5,5,3,16,12,48,greedy,False,,,0.010263,268,39,268,False,
3,baseline,5,5,3,16,12,48,astar,False,,,0.020989,268,90,268,False,
4,baseline,5,5,3,16,12,48,bfs,True,21.65,9,0.191064,740,802,740,False,
4,baseline,5,5,3,16,12,48,dfs,True,80.30000000000001,24,0.141412,2227,93,2227,False,
4,baseline,5,5,3,16,12,48,ucs,True,21.075,9,0.181096,595,544,595,False,
4,baseline,5,5,3,16,12,48,greedy,True,21.65,9,0.000794,13,33,13,False,
4,baseline,5,5,3,16,12,48,astar,True,21.075,9,0.008437,85,115,85,False,
5,baseline,5,5,3,16,12,48,bfs,True,29.075,13,1.029767,2272,1192,2272,False,
5,baseline,5,5,3,16,12,48,dfs,True,79.15,24,0.024536,507,77,507,False,
5,baseline,5,5,3,16,12,48,ucs,True,29.075,13,0.929114,1715,718,1715,False,
5,baseline,5,5,3,16,12,48,greedy,True,30.575,14,0.005689,121,57,121,False,
5,baseline,5,5,3,16,12,48,astar,True,29.075,13,0.034862,333,109,333,False,
